year,title,difficulty
2004,"Blakely v. Washington"
2010,"Graham v. Florida"
2012,"Miller v. Alabama"
2020,"Ramos v. Louisiana"
1884,"Hurtado v. California"
1923,"Moore v. Dempsey"
1932,"Sorrells v. United States"
1936,"Brown v. Mississippi"
1940,"Chambers v. Florida"
1954,"United States v. Morgan"
1960,"Thompson v. City of Louisville"
1962,"Robinson v. California"
1963,"Brady v. Maryland"
1972,"Barker v. Wingo"
2004,"Crawford v. Washington"
2000,"Bush v. Gore",-1
2020,"Chiafalo v. Washington"
2021,"Brnovich v. Democratic National Committee"
1793,"Chisholm v. Georgia"
1796,"Hylton v. United States"
1796,"Ware v. Hylton"
1810,"Fletcher v. Peck"
1816,"Martin v. Hunter's Lessee"
1819,"McCulloch v. Maryland"
1821,"Cohens v. Virginia"
1824,"Gibbons v. Ogden"
1833,"Barron v. Baltimore"
1852,"Cooley v. Board of Wardens"
1859,"Ableman v. Booth"
1869,"Texas v. White"
1890,"Hans v. Louisiana"
1895,"Pollock v. Farmers' Loan & Trust Co."
1905,"Swift and Company v. United States"
1907,"Hunter v. City of Pittsburgh"
1908,"Ex parte Young"
1920,"Missouri v. Holland"
1920,"United States v. Wheeler"
1936,"United States v. Butler"
1937,"National Labor Relations Board v. Jones & Laughlin Steel Corporation"
1937,"Steward Machine Company v. Davis"
1938,"New Negro Alliance v. Sanitary Grocery Co."
1941,"United States v. Darby Lumber Co."
1942,"Wickard v. Filburn",-1
1958,"Cooper v. Aaron"
1970,"Oregon v. Mitchell"
1978,"Marquette National Bank of Minneapolis v. First of Omaha Service Corp."
1985,"Garcia v. San Antonio Metropolitan Transit Authority"
1985,"Heath v. Alabama"
1987,"South Dakota v. Dole"
1995,"United States v. Lopez"
1995,"U.S. Term Limits, Inc. v. Thornton"
1997,"Printz v. United States"
2000,"United States v. Morrison"
2005,"Gonzales v. Raich"
2011,"Bond v. United States"
2012,"Arizona v. United States"
2012,"National Federation of Independent Business v. Sebelius"
2018,"Murphy v. National Collegiate Athletic Association"
1823,"Johnson v. M'Intosh"
1832,"Worcester v. Georgia"
1883,"Ex parte Crow Dog"
1884,"Elk v. Wilkins"
1886,"United States v. Kagama"
1896,"Talton v. Mayes"
1903,"Lone Wolf v. Hitchcock"
1959,"Williams v. Lee"
1968,"Menominee Tribe v. United States"
1974,"Oneida Indian Nation of New York v. County of Oneida"
1976,"Bryan v. Itasca County"
1978,"Oliphant v. Suquamish Indian Tribe"
1978,"United States v. Wheeler"
1978,"Santa Clara Pueblo v. Martinez"
1984,"Solem v. Bartlett"
1985,"County of Oneida v. Oneida Indian Nation of New York State"
1988,"Lyng v. Northwest Indian Cemetery Protective Association"
2004,"United States v. Lara"
2019,"Herrera v. Wyoming"
2020,"McGirt v. Oklahoma"
