when,title,difficulty
1789-01-10,George Washington first elected to U.S. Presidency,-1
1792-12-05,George Washington re-elected to U.S. Presidency
1796-12-07,John Adams elected to U.S. Presidency
1800-12-03,Thomas Jefferson first elected to U.S. Presidency,-1
1804-12-05,Thomas Jefferson re-elected to U.S. Presidency 
1808-12-07,James Madison first elected to U.S. Presidency 
1812-12-02,James Madison re-elected to U.S. Presidency 
1816-12-04,James Monroe first elected to U.S. Presidency 
1820-12-06,James Monroe re-elected to U.S. Presidency 
1824-12-02,John Quincy Adams elected to U.S. Presidency 
1828-12-02,Andrew Jackson first elected to U.S. Presidency,-1
1832-12-05,Andrew Jackson re-elected to U.S. Presidency 
1836-12-07,Martin Van Buren elected to U.S. Presidency,1
1840-12-02,William Henry Harrison elected to U.S. Presidency,1
1841-04-04,William Henry Harrison dies as U.S. President,1
1841-04-04,John Tyler assumes U.S. Presidency,1
1844-12-04,James K. Polk elected to U.S. Presidency,1
1848-11-07,Zachary Taylor elected to U.S. Presidency,1
1850-07-09,Zachary Taylor dies as U.S. President,1
1850-07-09,Millard Fillmore assumes U.S. Presidency,1
1852-11-02,Franklin Pierce elected to U.S. Presidency,1
1856-11-04,James Buchanan elected to U.S. Presidency
1860-11-06,Abraham Lincoln first elected to U.S. Presidency,-1
1864-11-08,Abraham Lincoln re-elected to U.S. Presidency
1865-04-15,Abraham Lincoln assassinated as U.S. President,-1
1865-04-15,Andrew Johnson assumes U.S. Presidency,1
1868-02-24,Impeachment of Andrew Johnson,1
1868-11-03,Ulysses S. Grant first elected to U.S. Presidency 
1872-11-05,Ulysses S. Grant re-elected to U.S. Presidency 
1876-11-07,Rutherford B. Hayes elected to U.S. Presidency,1
1880-11-02,James A. Garfield elected to U.S. Presidency,1
1881-09-19,James A. Garfield assassinated as U.S. President,1
1881-09-19,Chester A. Arthur assumes U.S. Presidency,1
1884-11-04,Grover Cleveland first elected to U.S. Presidency,1
1888-11-06,Benjamin Harrison elected to U.S. Presidency,1
1892-11-08,Grover Cleveland re-elected to U.S. Presidency,1
1896-11-03,William McKinley first elected to U.S. Presidency 
1900-11-06,William McKinley re-elected to U.S. Presidency 
1901-09-14,William McKinley assassinated as U.S. President
1901-09-14,Theodore Roosevelt assumes U.S. Presidency,-1
1904-11-08,Theodore Roosevelt elected to U.S. Presidency
1908-11-03,William Howard Taft elected to U.S. Presidency 
1912-11-05,Woodrow Wilson first elected to U.S. Presidency 
1916-11-07,Woodrow Wilson re-elected to U.S. Presidency 
1920-11-02,Warren G. Harding elected to U.S. Presidency,1
1923-08-02,Warren G. Harding dies as U.S. President
1923-08-02,Calvin Coolidge assumes U.S. Presidency
1924-11-04,Calvin Coolidge elected to U.S. Presidency,1
1928-11-06,Herbert Hoover elected to U.S. Presidency,1
1932-11-08,Franklin D. Roosevelt first elected to U.S. Presidency,-1
1936-11-03,Franklin D. Roosevelt re-elected to U.S. Presidency (1/3)
1940-11-05,Franklin D. Roosevelt re-elected to U.S. Presidency (2/3)
1944-11-07,Franklin D. Roosevelt re-elected to U.S. Presidency (3/3)
1945-04-12,Franklin D. Roosevelt dies as U.S. President,-1
1945-04-12,Harry S. Truman assumes U.S. Presidency
1948-11-02,Harry S. Truman elected to U.S. Presidency 
1952-11-04,Dwight D. Eisenhower first elected to U.S. Presidency 
1956-11-06,Dwight D. Eisenhower re-elected to U.S. Presidency 
1960-11-08,John F. Kennedy elected to U.S. Presidency 
1963-11-22,John F. Kennedy assassinated as U.S. President,-1
1963-11-22,Lyndon B. Johnson assumes U.S. Presidency
1964-11-03,Lyndon B. Johnson elected to U.S. Presidency 
1968-11-05,Richard Nixon first elected to U.S. Presidency 
1972-11-07,Richard Nixon re-elected to U.S. Presidency 
1974-08-09,Richard Nixon resigns U.S. Presidency,-1
1974-08-09,Gerald Ford assumes U.S. Presidency,1
1976-11-02,Jimmy Carter elected to U.S. Presidency 
1980-11-04,Ronald Reagan first elected to U.S. Presidency,-1
1984-11-06,Ronald Reagan re-elected to U.S. Presidency 
1988-11-08,George H. W. Bush elected to U.S. Presidency 
1992-11-03,Bill Clinton first elected to U.S. Presidency,-1
1996-11-05,Bill Clinton re-elected to U.S. Presidency 
1998-12-19,Impeachment of Bill Clinton
2000-11-07,George W. Bush first elected to U.S. Presidency,-1
2004-11-02,George W. Bush re-elected to U.S. Presidency,-1
2008-11-04,Barack Obama first elected to U.S. Presidency,-1
2012-11-06,Barack Obama re-elected to U.S. Presidency,-1
2016-11-08,Donald Trump elected to U.S. Presidency,-1
2019-12-18,First Impeachment of Donald Trump
2020-11-03,Joe Biden elected to U.S. Presidency,-1
2021-01-13,Second Impeachment of Donald Trump
